17 , -10, 43, D
18 , -14, 46, D
6 , -2, 37, D
12 , -2, 46, D
11 , -2, 40, D
14 , -5, 53, D
13 , -2, 38, D
19 , -4, 49, D
8 , -7, 41, D
3 , 4, 41, D
4 , -5, 50, D
18 , -9, 37, D
18 , -5, 42, D
13 , 3, 48, D
18 , -2, 54, D
18 , -9, 36, D
11 , -8, 51, D
5 , -13, 40, D
12 , 1, 40, D
6 , -8, 44, D
21 , -5, 43, D
4 , -4, 40, D
13 , 3, 38, D
8 , -10, 53, D
15 , -11, 52, D
6 , -6, 45, D
4 , -7, 38, D
10 , -7, 53, D
3 , -13, 41, D
11 , -10, 44, D
11 , -3, 53, D
5 , -11, 54, D
5 , -4, 49, D
6 , -6, 54, D
6 , -5, 47, D
9 , -6, 46, D
19 , -12, 39, D
6 , -7, 40, D
11 , -12, 38, D
3 , -14, 40, D
20 , -2, 36, D
7 , -10, 45, D
8 , -3, 46, D
9 , -6, 48, D
4 , -8, 39, D
8 , -13, 53, D
12 , -4, 37, D
21 , -4, 43, D
20 , -9, 46, D
4 , -12, 53, D
10 , -11, 44, D
16 , -13, 47, D
3 , -4, 54, D
7 , -11, 48, D
11 , -8, 40, D
6 , -7, 42, D
15 , -5, 53, D
6 , -1, 42, D
21 , -10, 39, D
17 , -2, 36, D
10 , -2, 41, D
13 , -5, 49, D
18 , -11, 50, D
17 , -12, 49, D
15 , -3, 49, D
14 , -13, 37, D
17 , -9, 53, D
3 , -3, 46, D
21 , -9, 38, D
7 , -11, 51, D
5 , -3, 38, D
16 , -4, 53, D
8 , -10, 53, D
20 , 3, 50, D
7 , -5, 48, D
5 , -5, 52, D
20 , 1, 49, D
3 , 1, 40, D
20 , 4, 48, D
16 , 1, 53, D
9 , -14, 40, D
5 , 2, 49, D
8 , -11, 37, D
3 , -1, 49, D
18 , 4, 40, D
4 , -12, 40, D
13 , -7, 49, D
4 , -2, 52, D
10 , -14, 42, D
4 , -14, 46, D
16 , -5, 46, D
6 , -8, 42, D
13 , -8, 44, D
18 , -5, 43, D
15 , -5, 52, D
4 , -13, 53, D
19 , -12, 40, D
5 , -12, 50, D
13 , -14, 36, D
19 , -10, 44, D
4 , -4, 46, D
13 , -11, 47, D
20 , -12, 38, D
15 , -11, 44, D
5 , -4, 36, D
8 , 2, 44, D
18 , -10, 53, D
6 , -8, 44, D
21 , -5, 53, D
19 , -10, 40, D
6 , 1, 44, D
16 , 2, 47, D
20 , -13, 42, D
13 , -9, 43, D
7 , 4, 43, D
16 , -13, 42, D
8 , -1, 47, D
13 , -5, 39, D
10 , 0, 47, D
11 , -6, 43, D
7 , -11, 36, D
18 , -10, 42, D
8 , -7, 50, D
11 , -5, 43, D
9 , 3, 51, D
14 , 3, 45, D
11 , 4, 42, D
3 , -10, 49, D
6 , -2, 37, D
12 , -10, 46, D
15 , -2, 47, D
14 , -12, 42, D
6 , -10, 54, D
18 , -5, 54, D
4 , -10, 40, D
16 , -5, 53, D
13 , -10, 50, D
9 , -10, 45, D
17 , -13, 45, D
5 , -14, 50, D
3 , -14, 52, D
14 , -5, 37, D
5 , -7, 39, D
8 , 3, 42, D
19 , -9, 52, D
21 , -9, 53, D
6 , -3, 41, D
16 , -1, 54, D
14 , -7, 51, D
16 , -5, 40, D
15 , -11, 47, D
3 , -5, 40, D
10 , -4, 46, D
6 , -7, 52, D
17 , 2, 52, D
7 , -10, 44, D
5 , -13, 48, D
8 , -2, 44, D
5 , -4, 40, D
14 , 0, 43, D
9 , -8, 36, D
9 , -4, 46, D
7 , -12, 45, D
3 , -1, 41, D
10 , 2, 44, D
11 , 4, 40, D
10 , -3, 51, D
8 , 1, 54, D
8 , 3, 39, D
17 , 2, 41, D
5 , -1, 37, D
10 , -3, 53, D
4 , 0, 40, D
5 , -6, 54, D
15 , 0, 40, D
9 , 4, 43, D
3 , -11, 54, D
21 , 4, 45, D
6 , -10, 36, D
13 , -11, 51, D
3 , -9, 47, D
4 , 0, 49, D
7 , -6, 51, D
20 , 3, 47, D
18 , -4, 47, D
8 , -2, 39, D
8 , -3, 36, D
9 , -1, 43, D
4 , -8, 54, D
16 , -12, 43, D
17 , -4, 45, D
3 , -2, 40, D
21 , -5, 48, D
9 , -8, 36, D
3 , -1, 45, D
5 , -7, 54, D
15 , -1, 38, D
21 , -14, 43, D
15 , -10, 45, D
13 , -13, 50, D
14 , -7, 41, D
17 , -14, 49, D
21 , -10, 46, D
7 , -1, 52, D
4 , 3, 53, D
4 , -6, 37, D
11 , 3, 52, D
3 , 2, 39, D
6 , -2, 38, D
11 , 2, 40, D
8 , -1, 50, D
8 , -9, 47, D
6 , -2, 45, D
3 , 2, 50, D
5 , -6, 48, D
9 , -14, 36, D
11 , -9, 52, D
3 , -13, 38, D
10 , -3, 42, D
8 , -12, 38, D
7 , -3, 52, D
9 , 0, 36, D
3 , -10, 50, D
12 , 1, 47, D
18 , -3, 48, D
19 , 0, 54, D
13 , -4, 54, D
17 , -3, 44, D
13 , 4, 40, D
16 , -8, 49, D
12 , -3, 53, D
21 , -13, 48, D
10 , 4, 48, D
20 , -13, 43, D
6 , -2, 44, D
21 , 2, 42, D
4 , -10, 43, D
21 , -5, 40, D
4 , -12, 41, D
21 , 0, 37, D
5 , -2, 50, D
16 , -7, 52, D
18 , -4, 37, D
17 , -1, 43, D
12 , -6, 49, D
14 , -6, 48, D
12 , -14, 54, D
3 , -12, 44, D
16 , -10, 36, D
17 , -8, 38, D
